maketxt,modeltxt,yeartxt,component_group,topic_id,topic_label,mfr_name,months_flagged,first_month,latest_month,max_complaints,avg_complaints,median_complaints,max_growth_vs_6mo_avg,avg_topic_strength,max_watchlist_score,high_confidence_months,moderate_or_higher_months,best_signal_tier
HONDA,ODYSSEY,2019,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,HONDA (AMERICAN HONDA MOTOR CO.),4,2024-01-01,2025-02-01,5,4.0,4.0,5.0,0.485,8.296,0,2,Moderate signal
KIA,SORENTO,2014,STRUCTURE,8,Windshield / glass cracking issue,"KIA AMERICA, INC.",4,2020-08-01,2021-07-01,5,4.25,4.5,2.5,0.519,7.074,0,2,Moderate signal
HONDA,CIVIC,2022,STEERING,1,Electric power steering assist loss,HONDA (AMERICAN HONDA MOTOR CO.),4,2023-03-01,2024-06-01,5,3.75,3.5,3.0,0.427,6.92,0,1,Moderate signal
CHRYSLER,200,2015,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",4,2020-01-01,2021-10-01,5,4.0,4.0,2.25,0.519,5.784,0,1,Moderate signal
JEEP,CHEROKEE,2018,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",4,2020-02-01,2024-10-01,5,4.0,4.0,3.0,0.424,5.337,0,1,Moderate signal
GMC,YUKON,2015,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"GENERAL MOTORS, LLC",4,2020-01-01,2021-04-01,5,3.75,3.5,3.0,0.385,5.053,0,1,Moderate signal
DODGE,DURANGO,2017,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"CHRYSLER (FCA US, LLC)",4,2020-01-01,2023-02-01,5,3.5,3.0,3.0,0.326,4.797,0,1,Moderate signal
FORD,FUSION,2014,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,4,2020-08-01,2024-03-01,4,3.25,3.0,4.0,0.574,14.197,0,0,Early signal
FORD,ESCAPE,2018,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,4,2022-07-01,2025-01-01,4,3.5,3.5,4.0,0.447,13.458,0,0,Early signal
TESLA,MODEL S,2016,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"TESLA, INC.",4,2020-07-01,2022-10-01,4,3.5,3.5,4.0,0.484,12.744,0,0,Early signal
KIA,OPTIMA,2013,ENGINE / COOLING,2,Check engine light / engine fault complaints,"KIA AMERICA, INC.",4,2020-01-01,2024-02-01,4,3.75,4.0,4.0,0.384,12.468,0,0,Early signal
LINCOLN,MKZ,2008,SERVICE BRAKES,4,Brake pedal / braking performance issue,FORD MOTOR COMPANY,4,2020-02-01,2021-03-01,4,3.5,3.5,4.0,0.676,12.278,0,0,Early signal
LINCOLN,MKC,2018,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,4,2024-08-01,2025-07-01,4,3.75,4.0,4.0,0.592,12.115,0,0,Early signal
KIA,SORENTO,2015,ENGINE / COOLING,15,Oil consumption / low oil issue,"KIA AMERICA, INC.",4,2020-03-01,2023-04-01,4,3.25,3.0,4.0,0.495,11.732,0,0,Early signal
CHRYSLER,PACIFICA,2021,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",4,2021-11-01,2024-03-01,4,3.5,3.5,4.0,0.387,11.572,0,0,Early signal
HONDA,ODYSSEY,2018,POWER TRAIN,6,Transmission shifting / gear engagement issue,HONDA (AMERICAN HONDA MOTOR CO.),4,2022-10-01,2025-06-01,4,3.75,4.0,4.0,0.488,11.247,0,0,Early signal
KIA,SOUL,2018,ENGINE / COOLING,15,Oil consumption / low oil issue,"KIA AMERICA, INC.",4,2021-12-01,2024-04-01,4,3.25,3.0,4.0,0.528,11.227,0,0,Early signal
HYUNDAI,SONATA,2011,ENGINE / COOLING,2,Check engine light / engine fault complaints,HYUNDAI MOTOR AMERICA,4,2020-10-01,2023-06-01,4,3.25,3.0,4.0,0.449,10.918,0,0,Early signal
KIA,SORENTO,2017,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"KIA AMERICA, INC.",4,2022-09-01,2024-08-01,4,3.75,4.0,4.0,0.464,10.386,0,0,Early signal
CHEVROLET,EQUINOX,2014,VISIBILITY / WIPER,8,Windshield / glass cracking issue,"GENERAL MOTORS, LLC",4,2020-01-01,2022-08-01,4,3.5,3.5,4.0,0.55,10.114,0,0,Early signal
HONDA,CIVIC,2022,LANE DEPARTURE,10,Steering wheel binding / difficult turning issue,HONDA (AMERICAN HONDA MOTOR CO.),4,2022-12-01,2023-12-01,4,3.75,4.0,4.0,0.482,9.969,0,0,Early signal
CHEVROLET,MALIBU,2016,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"GENERAL MOTORS, LLC",4,2020-06-01,2021-03-01,4,4.0,4.0,4.0,0.545,9.629,0,0,Early signal
HONDA,CR-V,2017,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,HONDA (AMERICAN HONDA MOTOR CO.),4,2021-01-01,2022-09-01,4,3.25,3.0,4.0,0.453,9.539,0,0,Early signal
CHRYSLER,PACIFICA,2017,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",4,2022-08-01,2023-08-01,4,3.25,3.0,4.0,0.449,9.303,0,0,Early signal
TESLA,MODEL 3,2020,VEHICLE SPEED CONTROL,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",4,2022-02-01,2023-07-01,4,3.25,3.0,4.0,0.601,9.025,0,0,Early signal
TESLA,MODEL Y,2023,SUSPENSION,19,Tire / suspension / frame rust mixed issue,"TESLA, INC.",4,2024-11-01,2025-11-01,4,3.75,4.0,4.0,0.329,8.985,0,0,Early signal
RAM,1500,2013,ELECTRICAL SYSTEM,1,Electric power steering assist loss,"CHRYSLER (FCA US, LLC)",4,2021-01-01,2025-06-01,4,3.25,3.0,4.0,0.476,8.891,0,0,Early signal
RAM,1500,2017,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,"CHRYSLER (FCA US, LLC)",4,2023-11-01,2026-01-01,4,3.5,3.5,3.0,0.614,8.876,0,0,Early signal
CHEVROLET,SILVERADO 1500,2020,SERVICE BRAKES,4,Brake pedal / braking performance issue,"GENERAL MOTORS, LLC",4,2020-02-01,2025-11-01,4,3.25,3.0,3.0,0.397,8.244,0,0,Early signal
CHEVROLET,TAHOE,2021,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,"GENERAL MOTORS, LLC",4,2024-10-01,2025-09-01,4,3.25,3.0,4.0,0.384,8.145,0,0,Early signal
KIA,SORENTO,2015,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"KIA AMERICA, INC.",4,2020-09-01,2022-05-01,4,3.25,3.0,3.0,0.87,8.011,0,0,Early signal
JEEP,GRAND CHEROKEE,2018,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,"CHRYSLER (FCA US, LLC)",4,2021-09-01,2022-10-01,4,3.25,3.0,4.0,0.33,7.701,0,0,Early signal
GMC,ACADIA,2019,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"GENERAL MOTORS, LLC",4,2024-04-01,2025-08-01,4,3.25,3.0,3.43,0.508,7.587,0,0,Early signal
KIA,SOUL,2019,ENGINE / COOLING,15,Oil consumption / low oil issue,"KIA AMERICA, INC.",4,2025-03-01,2025-10-01,4,3.5,3.5,2.57,0.492,6.965,0,0,Early signal
FORD,FOCUS,2012,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,4,2020-01-01,2021-10-01,4,3.75,4.0,3.0,0.494,6.859,0,0,Early signal
VOLKSWAGEN,ID.4,2023,STRUCTURE,7,Door latch / lock / unintended opening issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",4,2023-02-01,2024-10-01,4,3.5,3.5,3.0,0.651,6.846,0,0,Early signal
HYUNDAI,PALISADE,2020,SUSPENSION,19,Tire / suspension / frame rust mixed issue,HYUNDAI MOTOR AMERICA,4,2024-09-01,2025-08-01,4,3.25,3.0,3.0,0.481,6.341,0,0,Early signal
GMC,SIERRA 1500,2019,ENGINE / COOLING,2,Check engine light / engine fault complaints,"GENERAL MOTORS, LLC",4,2025-01-01,2026-01-01,4,3.25,3.0,3.0,0.352,6.279,0,0,Early signal
TOYOTA,HIGHLANDER,2018,POWER TRAIN,6,Transmission shifting / gear engagement issue,TOYOTA MOTOR CORPORATION,4,2025-11-01,2026-02-01,4,3.5,3.5,3.0,0.504,5.806,0,0,Early signal
NISSAN,ROGUE,2023,ENGINE / COOLING,9,Fuel pump / fuel tank / leak or odor issue,"NISSAN NORTH AMERICA, INC.",4,2023-01-01,2024-01-01,4,3.25,3.0,3.0,0.465,5.709,0,0,Early signal
TOYOTA,PRIUS,2010,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,TOYOTA MOTOR CORPORATION,4,2020-05-01,2023-08-01,4,3.5,3.5,3.0,0.337,5.705,0,0,Early signal
SUBARU,ASCENT,2020,VISIBILITY / WIPER,8,Windshield / glass cracking issue,"SUBARU OF AMERICA, INC.",4,2020-02-01,2021-01-01,4,3.75,4.0,2.18,0.82,5.642,0,0,Early signal
TOYOTA,FJ CRUISER,2007,SUSPENSION,19,Tire / suspension / frame rust mixed issue,TOYOTA MOTOR CORPORATION,4,2020-01-01,2020-08-01,4,4.0,4.0,2.0,0.579,5.567,0,0,Early signal
HONDA,PILOT,2016,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,HONDA (AMERICAN HONDA MOTOR CO.),4,2020-01-01,2025-03-01,4,3.25,3.0,2.57,0.45,5.184,0,0,Early signal
KIA,OPTIMA,2015,ENGINE / COOLING,17,Vehicle shutoff / stall while driving issue,"KIA AMERICA, INC.",4,2021-03-01,2025-07-01,3,3.0,3.0,3.0,0.508,14.588,0,0,Early signal
HYUNDAI,ELANTRA,2013,AIR BAGS,11,Airbag nondeployment / crash restraint issue,HYUNDAI MOTOR AMERICA,4,2020-09-01,2023-07-01,3,3.0,3.0,3.0,0.52,11.021,0,0,Early signal
KIA,SOUL,2013,ENGINE / COOLING,2,Check engine light / engine fault complaints,"KIA AMERICA, INC.",4,2020-04-01,2023-02-01,3,3.0,3.0,3.0,0.383,9.585,0,0,Early signal
FORD,F-150,2013,POWER TRAIN,17,Vehicle shutoff / stall while driving issue,FORD MOTOR COMPANY,4,2022-08-01,2024-07-01,3,3.0,3.0,3.0,0.327,9.475,0,0,Early signal
HYUNDAI,ELANTRA,2018,ENGINE / COOLING,15,Oil consumption / low oil issue,HYUNDAI MOTOR AMERICA,4,2024-03-01,2025-11-01,3,3.0,3.0,3.0,0.494,9.343,0,0,Early signal
HYUNDAI,TUCSON,2017,POWER TRAIN,6,Transmission shifting / gear engagement issue,HYUNDAI MOTOR AMERICA,4,2022-08-01,2023-12-01,3,3.0,3.0,3.0,0.387,8.89,0,0,Early signal
KIA,SORENTO,2018,ENGINE / COOLING,15,Oil consumption / low oil issue,"KIA AMERICA, INC.",4,2023-04-01,2025-08-01,3,3.0,3.0,3.0,0.584,8.887,0,0,Early signal
GMC,TERRAIN,2011,ENGINE / COOLING,15,Oil consumption / low oil issue,"GENERAL MOTORS, LLC",4,2020-11-01,2021-08-01,3,3.0,3.0,3.0,0.626,7.821,0,0,Early signal
GMC,ACADIA,2014,AIR BAGS,3,Airbag warning / passenger airbag sensor issue,"GENERAL MOTORS, LLC",4,2020-11-01,2023-08-01,3,3.0,3.0,3.0,0.651,7.774,0,0,Early signal
RAM,1500,2022,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",4,2025-01-01,2025-12-01,3,3.0,3.0,3.0,0.393,7.755,0,0,Early signal
MERCEDES-BENZ,C300,2016,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,"MERCEDES-BENZ USA, LLC",4,2020-12-01,2022-12-01,3,3.0,3.0,3.0,0.545,7.385,0,0,Early signal
HONDA,RIDGELINE,2023,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,HONDA (AMERICAN HONDA MOTOR CO.),4,2023-02-01,2024-05-01,3,3.0,3.0,3.0,0.811,7.235,0,0,Early signal
GMC,TERRAIN,2020,SERVICE BRAKES,4,Brake pedal / braking performance issue,"GENERAL MOTORS, LLC",4,2024-08-01,2025-12-01,3,3.0,3.0,3.0,0.341,7.218,0,0,Early signal
FORD,ESCAPE,2009,SERVICE BRAKES,4,Brake pedal / braking performance issue,FORD MOTOR COMPANY,4,2020-02-01,2021-09-01,3,3.0,3.0,3.0,0.471,7.028,0,0,Early signal
HYUNDAI,SONATA,2013,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,HYUNDAI MOTOR AMERICA,4,2020-02-01,2021-03-01,3,3.0,3.0,3.0,0.457,6.787,0,0,Early signal
FORD,EXPEDITION,2016,SERVICE BRAKES,4,Brake pedal / braking performance issue,FORD MOTOR COMPANY,4,2020-06-01,2021-06-01,3,3.0,3.0,3.0,0.517,6.516,0,0,Early signal
GMC,SIERRA 1500,2017,POWER TRAIN,6,Transmission shifting / gear engagement issue,"GENERAL MOTORS, LLC",4,2021-01-01,2025-04-01,3,3.0,3.0,3.0,0.631,6.474,0,0,Early signal
HONDA,PILOT,2017,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,HONDA (AMERICAN HONDA MOTOR CO.),4,2022-06-01,2025-08-01,3,3.0,3.0,3.0,0.492,6.372,0,0,Early signal
FORD,F-150,2018,WHEELS,19,Tire / suspension / frame rust mixed issue,FORD MOTOR COMPANY,4,2022-06-01,2024-10-01,3,3.0,3.0,3.0,0.676,6.244,0,0,Early signal
HONDA,ODYSSEY,2020,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,HONDA (AMERICAN HONDA MOTOR CO.),4,2024-08-01,2025-07-01,3,3.0,3.0,3.0,0.443,6.196,0,0,Early signal
JEEP,CHEROKEE,2018,POWER TRAIN,6,Transmission shifting / gear engagement issue,"CHRYSLER (FCA US, LLC)",4,2020-03-01,2026-02-01,3,3.0,3.0,3.0,0.45,5.865,0,0,Early signal
FORD,FOCUS,2013,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,4,2020-01-01,2020-11-01,3,3.0,3.0,3.0,0.446,5.807,0,0,Early signal
TESLA,MODEL Y,2021,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",3,2021-11-01,2022-02-01,131,54.0,16.0,19.65,0.561,35.956,3,3,High-confidence signal
TESLA,MODEL 3,2022,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",3,2021-12-01,2022-02-01,94,36.67,8.0,,0.586,11.181,0,3,Moderate signal
TESLA,MODEL Y,2022,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",3,2021-11-01,2022-02-01,62,24.33,8.0,16.91,0.601,29.586,1,2,High-confidence signal
TESLA,MODEL S,2015,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,"TESLA, INC.",3,2020-06-01,2020-08-01,25,17.67,18.0,,0.364,5.395,0,3,Moderate signal
TESLA,MODEL 3,2021,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",3,2021-11-01,2022-02-01,21,10.0,6.0,12.6,0.605,25.209,1,2,High-confidence signal
TESLA,MODEL 3,2018,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",3,2022-02-01,2023-07-01,19,11.0,11.0,19.0,0.571,21.464,2,2,High-confidence signal
TESLA,MODEL Y,2021,FORWARD COLLISION AVOIDANCE,4,Brake pedal / braking performance issue,"TESLA, INC.",3,2021-11-01,2023-06-01,19,8.33,3.0,8.14,0.493,17.747,1,1,High-confidence signal
TESLA,MODEL Y,2024,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",3,2024-04-01,2024-12-01,19,8.67,4.0,11.4,0.479,14.153,1,1,High-confidence signal
FORD,FUSION,2016,SERVICE BRAKES,4,Brake pedal / braking performance issue,FORD MOTOR COMPANY,3,2022-11-01,2023-05-01,17,9.33,8.0,14.57,0.62,20.422,1,2,High-confidence signal
POLESTAR,POLESTAR 2,2022,BACK OVER PREVENTION,19,Tire / suspension / frame rust mixed issue,"POLESTAR AUTOMOTIVE USA, INC.",3,2025-03-01,2025-07-01,17,11.0,12.0,12.0,0.426,13.304,2,2,High-confidence signal
HONDA,ACCORD,2018,FORWARD COLLISION AVOIDANCE,4,Brake pedal / braking performance issue,HONDA (AMERICAN HONDA MOTOR CO.),3,2022-02-01,2024-04-01,16,9.33,8.0,16.0,0.446,25.293,1,2,High-confidence signal
FORD,BRONCO,2023,VISIBILITY / WIPER,8,Windshield / glass cracking issue,FORD MOTOR COMPANY,3,2023-01-01,2023-03-01,16,9.67,10.0,,0.431,5.415,0,2,Moderate signal
HONDA,CR-V HYBRID,2023,STEERING,10,Steering wheel binding / difficult turning issue,HONDA (AMERICAN HONDA MOTOR CO.),3,2023-10-01,2024-01-01,15,9.67,9.0,9.38,0.53,18.097,1,3,High-confidence signal
FORD,F-250,2017,SUSPENSION,10,Steering wheel binding / difficult turning issue,FORD MOTOR COMPANY,3,2020-01-01,2020-12-01,15,10.33,10.0,4.5,0.508,17.603,0,3,Moderate signal
TESLA,MODEL S,2015,ELECTRICAL SYSTEM,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",3,2020-06-01,2020-08-01,15,13.0,13.0,15.0,0.38,13.952,3,3,High-confidence signal
TESLA,MODEL Y,2022,FORWARD COLLISION AVOIDANCE,4,Brake pedal / braking performance issue,"TESLA, INC.",3,2022-02-01,2025-03-01,15,7.33,4.0,4.0,0.384,13.003,0,1,Moderate signal
AUDI,A4,2020,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",3,2025-05-01,2025-07-01,15,9.33,7.0,3.0,0.508,12.288,1,3,High-confidence signal
HONDA,PROLOGUE,2024,FORWARD COLLISION AVOIDANCE,4,Brake pedal / braking performance issue,HONDA (AMERICAN HONDA MOTOR CO.),3,2025-01-01,2025-12-01,15,7.67,4.0,4.0,0.399,9.057,0,1,Moderate signal
FISKER,OCEAN,2023,LANE DEPARTURE,7,Door latch / lock / unintended opening issue,FISKER GROUP INC,3,2024-06-01,2025-02-01,14,6.67,3.0,14.0,0.342,12.598,1,1,High-confidence signal
GMC,SIERRA 1500,2019,SERVICE BRAKES,4,Brake pedal / braking performance issue,"GENERAL MOTORS, LLC",3,2020-01-01,2025-02-01,14,8.33,8.0,3.0,0.435,10.049,0,2,Moderate signal
AUDI,A4,2020,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",3,2025-05-01,2025-07-01,14,8.33,6.0,,0.359,4.798,0,3,Moderate signal
TESLA,MODEL 3,2023,STEERING,10,Steering wheel binding / difficult turning issue,"TESLA, INC.",3,2023-05-01,2025-03-01,13,6.33,3.0,9.75,0.449,17.981,1,1,High-confidence signal
HYUNDAI,PALISADE,2025,SERVICE BRAKES,4,Brake pedal / braking performance issue,HYUNDAI MOTOR AMERICA,3,2025-04-01,2025-07-01,13,7.0,5.0,4.33,0.458,17.289,1,2,High-confidence signal
NISSAN,ROGUE,2023,ENGINE / COOLING,2,Check engine light / engine fault complaints,"NISSAN NORTH AMERICA, INC.",3,2025-08-01,2025-10-01,13,10.33,11.0,8.67,0.434,14.08,2,3,High-confidence signal
FORD,FUSION,2017,SERVICE BRAKES,4,Brake pedal / braking performance issue,FORD MOTOR COMPANY,3,2022-08-01,2023-05-01,12,9.0,11.0,9.0,0.609,20.039,2,2,High-confidence signal
HONDA,HR-V,2023,STEERING,10,Steering wheel binding / difficult turning issue,HONDA (AMERICAN HONDA MOTOR CO.),3,2023-10-01,2023-12-01,12,9.0,9.0,7.71,0.6,17.865,1,3,High-confidence signal
MAZDA,CX-5,2021,ENGINE / COOLING,15,Oil consumption / low oil issue,MAZDA MOTOR CORP.,3,2022-07-01,2022-10-01,12,7.33,7.0,12.0,0.731,15.583,1,2,High-confidence signal
JEEP,GRAND CHEROKEE,2021,STEERING,1,Electric power steering assist loss,"CHRYSLER (FCA US, LLC)",3,2022-01-01,2022-11-01,12,7.0,6.0,8.0,0.555,15.445,1,2,High-confidence signal
HONDA,PILOT,2018,ENGINE / COOLING,17,Vehicle shutoff / stall while driving issue,HONDA (AMERICAN HONDA MOTOR CO.),3,2022-06-01,2022-08-01,12,9.67,11.0,12.0,0.466,12.96,2,3,High-confidence signal
CHEVROLET,COBALT,2009,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,"GENERAL MOTORS, LLC",3,2020-07-01,2023-06-01,11,7.67,8.0,11.0,0.513,12.925,1,2,High-confidence signal
BMW,X5,2024,ELECTRONIC STABILITY CONTROL (ESC),12,Cruise / traction / electronic braking control issue,"BMW OF NORTH AMERICA, LLC",3,2024-08-01,2025-09-01,11,5.67,3.0,11.0,0.527,12.468,1,1,High-confidence signal
BMW,X5,2024,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,"BMW OF NORTH AMERICA, LLC",3,2024-08-01,2025-09-01,11,5.67,3.0,11.0,0.527,12.468,1,1,High-confidence signal
FORD,ECOSPORT,2021,ENGINE / COOLING,2,Check engine light / engine fault complaints,FORD MOTOR COMPANY,3,2024-06-01,2025-04-01,11,5.67,3.0,11.0,0.419,11.528,1,1,High-confidence signal
TOYOTA,FJ CRUISER,2007,STRUCTURE,19,Tire / suspension / frame rust mixed issue,TOYOTA MOTOR CORPORATION,3,2020-01-01,2022-04-01,11,6.33,4.0,4.0,0.666,10.685,0,1,Moderate signal
TESLA,MODEL S,2014,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,"TESLA, INC.",3,2020-06-01,2020-08-01,11,6.0,4.0,,0.366,4.463,0,1,Moderate signal
TESLA,MODEL S,2013,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,"TESLA, INC.",3,2020-06-01,2020-08-01,11,7.33,6.0,,0.388,4.154,0,3,Moderate signal
FORD,MAVERICK HYBRID,2022,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,FORD MOTOR COMPANY,3,2022-06-01,2024-04-01,10,5.67,4.0,10.0,0.318,16.628,1,1,High-confidence signal
RAM,1500,2016,STEERING,1,Electric power steering assist loss,"CHRYSLER (FCA US, LLC)",3,2021-07-01,2023-11-01,10,7.33,9.0,10.0,0.542,13.242,1,2,High-confidence signal
TOYOTA,TACOMA,2018,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,TOYOTA MOTOR CORPORATION,3,2020-06-01,2020-09-01,10,6.67,5.0,4.17,0.649,11.957,1,3,High-confidence signal
FORD,BRONCO,2023,VISIBILITY / WIPER,18,Headlight / low beam visibility issue,FORD MOTOR COMPANY,3,2023-01-01,2023-03-01,10,5.67,4.0,3.75,0.392,11.034,1,1,High-confidence signal
TESLA,MODEL S,2016,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,"TESLA, INC.",3,2020-06-01,2020-08-01,10,7.0,7.0,,0.368,4.563,0,2,Moderate signal
AUDI,A4,2020,BACK OVER PREVENTION,18,Headlight / low beam visibility issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",3,2025-05-01,2025-07-01,10,5.67,4.0,,0.375,4.284,0,1,Moderate signal
TESLA,MODEL S,2013,ELECTRICAL SYSTEM,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",3,2020-06-01,2020-08-01,10,7.0,6.0,,0.397,3.948,0,3,Moderate signal
HONDA,CIVIC SI,2023,STEERING,10,Steering wheel binding / difficult turning issue,HONDA (AMERICAN HONDA MOTOR CO.),3,2023-10-01,2023-12-01,9,8.67,9.0,8.0,0.583,17.427,0,3,Moderate signal
FORD,EXPLORER,2017,VISIBILITY / WIPER,8,Windshield / glass cracking issue,FORD MOTOR COMPANY,3,2023-02-01,2024-02-01,9,5.33,4.0,9.0,0.555,17.059,0,1,Moderate signal
TESLA,MODEL S,2015,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"TESLA, INC.",3,2020-06-01,2020-08-01,9,6.33,5.0,,0.318,3.678,0,3,Moderate signal
CHEVROLET,SILVERADO 1500,2021,POWER TRAIN,6,Transmission shifting / gear engagement issue,"GENERAL MOTORS, LLC",3,2024-11-01,2025-02-01,8,5.0,4.0,4.36,0.494,13.899,0,1,Moderate signal
VOLKSWAGEN,ATLAS,2021,ENGINE / COOLING,17,Vehicle shutoff / stall while driving issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",3,2021-11-01,2025-04-01,8,5.0,4.0,8.0,0.484,12.413,0,1,Moderate signal
TOYOTA,CAMRY,2019,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,TOYOTA MOTOR CORPORATION,3,2020-11-01,2021-02-01,8,6.0,6.0,4.0,0.61,11.632,0,2,Moderate signal
FORD,ESCAPE HYBRID,2020,STRUCTURE,7,Door latch / lock / unintended opening issue,FORD MOTOR COMPANY,3,2023-04-01,2023-07-01,8,6.0,7.0,7.0,0.601,11.561,0,2,Moderate signal
RAM,3500,2018,VEHICLE SPEED CONTROL,12,Cruise / traction / electronic braking control issue,"CHRYSLER (FCA US, LLC)",3,2023-03-01,2023-11-01,8,6.33,7.0,4.0,0.608,10.78,0,2,Moderate signal
FORD,F-150 HYBRID,2021,POWER TRAIN,19,Tire / suspension / frame rust mixed issue,FORD MOTOR COMPANY,3,2022-08-01,2023-09-01,8,5.33,4.0,3.56,0.543,10.422,0,1,Moderate signal
FISKER,OCEAN,2023,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,FISKER GROUP INC,3,2024-02-01,2025-02-01,8,4.67,3.0,8.0,0.395,10.215,0,1,Moderate signal
HONDA,ODYSSEY,2020,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,HONDA (AMERICAN HONDA MOTOR CO.),3,2024-12-01,2025-09-01,8,5.67,5.0,5.0,0.552,8.868,0,2,Moderate signal
HONDA,ACCORD,2025,STEERING,10,Steering wheel binding / difficult turning issue,HONDA (AMERICAN HONDA MOTOR CO.),3,2025-11-01,2026-01-01,8,5.67,6.0,2.4,0.507,8.643,0,2,Moderate signal
FORD,BRONCO,2022,VISIBILITY / WIPER,8,Windshield / glass cracking issue,FORD MOTOR COMPANY,3,2022-12-01,2023-02-01,8,5.33,4.0,,0.51,4.093,0,1,Moderate signal
FORD,FUSION,2013,SERVICE BRAKES,4,Brake pedal / braking performance issue,FORD MOTOR COMPANY,3,2020-02-01,2023-05-01,7,4.67,4.0,7.0,0.55,18.108,0,1,Moderate signal
TESLA,MODEL 3,2019,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",3,2022-02-01,2023-04-01,7,5.67,5.0,7.0,0.54,16.924,0,3,Moderate signal
HONDA,ODYSSEY,2019,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,HONDA (AMERICAN HONDA MOTOR CO.),3,2024-02-01,2024-06-01,7,5.0,5.0,4.29,0.53,15.779,0,2,Moderate signal
KIA,TELLURIDE,2022,VISIBILITY / WIPER,8,Windshield / glass cracking issue,"KIA AMERICA, INC.",3,2022-04-01,2023-04-01,7,5.0,5.0,5.0,0.829,13.889,0,2,Moderate signal
